,Country,Region
0,Algeria,AFRICA
1,Angola,AFRICA
2,Benin,AFRICA
3,Botswana,AFRICA
4,Burkina,AFRICA
5,Burundi,AFRICA
6,Cameroon,AFRICA
7,Cape Verde,AFRICA
8,Central African Republic,AFRICA
9,Chad,AFRICA
10,Comoros,AFRICA
11,Congo,AFRICA
12,"Congo, Democratic Republic of",AFRICA
13,Djibouti,AFRICA
14,Egypt,AFRICA
15,Equatorial Guinea,AFRICA
16,Eritrea,AFRICA
17,Ethiopia,AFRICA
18,Gabon,AFRICA
19,Gambia,AFRICA
20,Ghana,AFRICA
21,Guinea,AFRICA
22,Guinea-Bissau,AFRICA
23,Ivory Coast,AFRICA
24,Kenya,AFRICA
25,Lesotho,AFRICA
26,Liberia,AFRICA
27,Libya,AFRICA
28,Madagascar,AFRICA
29,Malawi,AFRICA
30,Mali,AFRICA
31,Mauritania,AFRICA
32,Mauritius,AFRICA
33,Morocco,AFRICA
34,Mozambique,AFRICA
35,Namibia,AFRICA
36,Niger,AFRICA
37,Nigeria,AFRICA
38,Rwanda,AFRICA
39,Sao Tome and Principe,AFRICA
40,Senegal,AFRICA
41,Seychelles,AFRICA
42,Sierra Leone,AFRICA
43,Somalia,AFRICA
44,South Africa,AFRICA
45,South Sudan,AFRICA
46,Sudan,AFRICA
47,Swaziland,AFRICA
48,Tanzania,AFRICA
49,Togo,AFRICA
50,Tunisia,AFRICA
51,Uganda,AFRICA
52,Zambia,AFRICA
53,Zimbabwe,AFRICA
